Field,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"""machine learning"" AND (""nickel industry"" OR ""petroleum industry"" OR ""uranium industry"" OR ""copper industry"" OR ""zinc industry"" OR ""gold mining industry"" OR ""mineral industry"" OR ""gas industry"" OR ""coal industry"")",4,3,2,3,6,16,20,7,16,22,39,29,56,95,27
"farming, cultivation, tillage, tilling, husbandry, land management, farm management, crofting; agribusiness, agronomics, agronomy",0,0,0,2,0,0,0,2,1,1,4,3,14,34,400
"""deep learning"" AND (""buildings industry"" OR ""architecture industry"" OR ""construction industry"" OR ""domicile industry"" OR ""edifice industry"" OR ""erection industry"" OR ""fabric industry"" OR ""framework industry"" OR ""home industry"")",0,1,0,1,0,0,0,1,1,1,2,6,7,24,
Deep Learning + healthcare industry,9,7,9,15,13,11,25,21,26,41,50,66,130,356,6
"Deep learning + project management, human management, human resourse management, department management",3,2,0,5,4,2,4,2,9,8,11,10,20,33,
"Deep learning + support decision, support decision making",0,1,0,0,1,0,0,0,2,2,5,7,17,47,

,,,,,,,,-0.8,,,,,,,
,,,,,,,,0.24,,,,,,,
,,,,,,,,-0.84,,,,,,,
,,,,,,,,-1.4,,,,,,,
